7.3,2019,Kabir Singh
7.4,2019,Kesari
7.9,2019,Badla
8.2,2019,Gully Boy
8.2,2019,Uri: The Surgical Strike
7.8,2018,K.G.F: Chapter 1
7.9,2018,Badhaai Ho
8.2,2018,Vada Chennai
8.4,2018,Ratsasan
8.3,2018,Andhadhun
8.3,2018,96
8.1,2018,Tumbbad
7.6,2018,Hotel Mumbai
7.6,2018,Stree
7.3,2018,Gold
7.4,2018,Geetha Govindam
7.4,2018,Karwaan
7.6,2018,Goodachari
7.6,2018,Sanju
7.6,2018,Parmanu: The Story of Pokhran
7.7,2018,Raazi
8.1,2018,Mahanati
7.3,2018,Bharat Ane Nenu
7.4,2018,October
7.9,2018,Rangasthalam
7.4,2018,Hichki
7.3,2018,Raid
7.9,2018,Padman
8.2,2018,Peranbu
8.1,2017,Theeran Adhigaaram Ondru
7.4,2017,Shaadi Mein Zaroor Aana
7.8,2017,Secret Superstar
8.0,2017,Arjun Reddy
7.4,2017,Bareilly Ki Barfi
8.5,2017,Vikram Vedha
7.7,2017,Hindi Medium
8.0,2017,Baahubali 2: The Conclusion
7.5,2017,The Ghazi Attack
7.6,2017,Newton
8.2,2016,Dhuruvangal Pathinaaru
8.4,2016,Dangal
7.4,2016,Dear Zindagi
7.5,2016,Trapped
7.6,2016,M.S. Dhoni: The Untold Story
8.1,2016,Pink
7.5,2016,Madaari
7.7,2016,Udta Punjab
8.3,2016,Aruvi
7.3,2016,Raman Raghav 2.0
7.6,2016,24
7.7,2016,Kapoor & Sons
7.6,2016,Neerja
8.1,2016,Sairat
7.6,2016,Saala Khadoos
7.9,2016,Airlift
7.7,2015,Charlie
8.2,2015,Talvar
8.2,2015,Thani Oruvan
7.9,2015,Manjhi: The Mountain Man
7.3,2015,Srimanthudu
8.2,2015,Drishyam
7.9,2015,Bajrangi Bhaijaan
7.8,2015,Bahubali: The Beginning
7.6,2015,RangiTaranga
8.1,2015,Premam
7.6,2015,Tanu Weds Manu Returns
8.1,2015,Masaan
7.5,2015,Piku
7.5,2015,Detective Byomkesh Bakshy!
7.5,2015,Dum Laga Ke Haisha
7.4,2015,Badlapur
7.9,2015,Baby
8.1,2014,PK
7.5,2014,Kaththi
8.0,2014,Haider
7.2,2014,Mardaani
8.1,2014,Jigarthanda
7.3,2014,Holiday
8.1,2014,Bangalore Days
7.8,2014,Manam
7.8,2014,Ulidavaru Kandanthe
7.6,2014,Highway
7.5,2014,1 - Nenokkadine
8.6,2013,Drishyam
7.9,2013,Ankhon Dekhi
8.1,2013,Queen
7.6,2013,Madras Cafe
8.0,2013,Lucia
8.1,2013,Bhaag Milkha Bhaag
7.3,2013,Lootera
7.5,2013,Raanjhanaa
7.8,2013,Dabba
8.0,2013,Ugly
8.1,2013,Soodhu Kavvum
7.5,2013,Jolly LLB
7.6,2013,Kai po che!
8.0,2013,Special Chabbis
7.5,2012,Thuppakki
7.9,2012,Pizza
8.1,2012,OMG: Oh My God!
7.8,2012,English Vinglish
8.0,2012,Barfi!
8.2,2012,Shahid
7.9,2012,Ship of Theseus
7.6,2012,Eega
8.1,2012,Ustad Hotel
8.1,2012,Gangs of Wasseypur
7.7,2012,Vicky Donor
8.1,2012,Kahaani
8.1,2012,Paan Singh Tomar
7.6,2011,Rockstar
7.4,2011,Mankatha
8.1,2011,Zindagi Na Milegi Dobara
7.4,2011,Chillar Party
7.5,2011,Delhi Belly
7.6,2011,Pyaar Ka Punchnama
7.7,2011,Stanley Ka Dabba
7.4,2010,Guzaarish
7.3,2010,Khaleja
